treatment,count_ddi,KG2
http://example/Treatment/treatment4,14,23
http://example/Treatment/treatment6,13,27
http://example/Treatment/treatment75,4,5
http://example/Treatment/treatment101,4,4
http://example/Treatment/treatment122,5,6
http://example/Treatment/treatment159,2,2
http://example/Treatment/treatment285,1,1
http://example/Treatment/treatment13,8,10
http://example/Treatment/treatment16,8,8
http://example/Treatment/treatment23,7,7
http://example/Treatment/treatment26,3,3
http://example/Treatment/treatment56,4,4
http://example/Treatment/treatment62,6,9
http://example/Treatment/treatment91,2,3
http://example/Treatment/treatment97,5,6
http://example/Treatment/treatment149,2,3
http://example/Treatment/treatment80,7,9
http://example/Treatment/treatment134,2,2
http://example/Treatment/treatment217,3,3
http://example/Treatment/treatment258,1,1
http://example/Treatment/treatment36,7,10
http://example/Treatment/treatment119,3,3
http://example/Treatment/treatment144,1,1
http://example/Treatment/treatment167,3,3
http://example/Treatment/treatment180,3,3
http://example/Treatment/treatment215,3,4
http://example/Treatment/treatment230,2,2
http://example/Treatment/treatment280,1,1
http://example/Treatment/treatment59,5,6
http://example/Treatment/treatment8,15,25
http://example/Treatment/treatment53,11,12
http://example/Treatment/treatment76,7,8
http://example/Treatment/treatment84,9,9
http://example/Treatment/treatment317,2,3
http://example/Treatment/treatment93,6,6
http://example/Treatment/treatment176,3,3
http://example/Treatment/treatment205,1,1
http://example/Treatment/treatment226,1,1
http://example/Treatment/treatment341,1,1
http://example/Treatment/treatment286,1,1
http://example/Treatment/treatment37,2,2
http://example/Treatment/treatment204,1,1
http://example/Treatment/treatment246,1,1
http://example/Treatment/treatment291,3,3
http://example/Treatment/treatment82,3,3
http://example/Treatment/treatment169,3,3
http://example/Treatment/treatment162,1,1
http://example/Treatment/treatment41,3,5
http://example/Treatment/treatment253,2,2
http://example/Treatment/treatment94,4,5
http://example/Treatment/treatment284,2,2
http://example/Treatment/treatment356,1,1
http://example/Treatment/treatment252,1,1
http://example/Treatment/treatment212,2,2
http://example/Treatment/treatment306,2,3
http://example/Treatment/treatment287,2,3
http://example/Treatment/treatment244,3,3
http://example/Treatment/treatment232,1,1
http://example/Treatment/treatment236,1,1
http://example/Treatment/treatment342,1,1
http://example/Treatment/treatment164,3,3
http://example/Treatment/treatment391,1,1
http://example/Treatment/treatment398,1,1
http://example/Treatment/treatment289,1,1
http://example/Treatment/treatment330,1,1
http://example/Treatment/treatment346,1,1
